127.0.0.1 - - [28/Jul/2022:22:46:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:55 +0900] "GET /Egov_WEB/ HTTP/1.1" 200 11535
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:55 +0900] "GET /Egov_WEB/css/egovframework/sample.css;jsessionid=2B8E7DE72B48F4A8CC91FDF15061BD9C HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:55 +0900] "GET /Egov_WEB/images/egovframework/example/btn_bg_r.gif;jsessionid=2B8E7DE72B48F4A8CC91FDF15061BD9C HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:55 +0900] "GET /Egov_WEB/images/egovframework/cmmn/btn_page_pre10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:55 +0900] "GET /Egov_WEB/images/egovframework/example/title_dot.gif;jsessionid=2B8E7DE72B48F4A8CC91FDF15061BD9C HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:55 +0900] "GET /Egov_WEB/images/egovframework/cmmn/btn_page_next1.gif HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:55 +0900] "GET /Egov_WEB/images/egovframework/cmmn/btn_page_pre1.gif HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:55 +0900] "GET /Egov_WEB/images/egovframework/cmmn/btn_page_next10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:55 +0900] "GET /Egov_WEB/images/egovframework/example/btn_bg_l.gif HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:55 +0900] "GET /Egov_WEB/images/egovframework/example/th_bg.gif HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:57 +0900] "POST /Egov_WEB/egovSampleList.do;jsessionid=2B8E7DE72B48F4A8CC91FDF15061BD9C HTTP/1.1" 200 11171
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:57 +0900] "GET /Egov_WEB/images/egovframework/example/title_dot.gif HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:57 +0900] "GET /Egov_WEB/css/egovframework/sample.css HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:57 +0900] "GET /Egov_WEB/images/egovframework/example/btn_bg_r.gif HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:57 +0900] "POST /Egov_WEB/egovSampleList.do HTTP/1.1" 200 11166
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:59 +0900] "POST /Egov_WEB/egovSampleList.do HTTP/1.1" 200 11166
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:46:59 +0900] "POST /Egov_WEB/egovSampleList.do HTTP/1.1" 200 11166
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:47:00 +0900] "POST /Egov_WEB/egovSampleList.do HTTP/1.1" 200 11166
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:47:02 +0900] "POST /Egov_WEB/updateSampleView.do HTTP/1.1" 200 6319
0:0:0:0:0:0:0:1 - - [28/Jul/2022:22:47:02 +0900] "GET /Egov_WEB/cmmn/validator.do HTTP/1.1" 200 34694
